Equipo,Age,CrdY,CrdR,Temporada,Posesion%,AciertoPase%,Goles,Aereos,Tiros_pp,Tiros_AP_pp,Regates_pp,Faltas_a_favor_pp,Juego_abierto,Contraataque,Balon_Parado
Leicester,26.1,63,2.0,22_23,47.7,80.3,51.0,13.5,11.0,4.0,7.7,10.4,33.0,4.0,9.0
Liverpool,27.4,57,1.0,22_23,60.6,84.2,75.0,12.7,15.9,5.6,8.6,8.4,45.0,7.0,17.0
Manchester City,27.2,44,1.0,22_23,65.2,89.2,94.0,11.6,15.8,5.8,8.8,10.1,62.0,7.0,14.0
Manchester Utd,26.9,78,2.0,22_23,53.8,82.3,58.0,12.3,15.6,5.7,8.4,7.8,39.0,9.0,5.0
Newcastle,27.3,61,1.0,22_23,52.2,79.8,68.0,14.7,15.0,5.2,9.2,10.5,43.0,5.0,10.0
Nottingham Forest,26.5,84,0.0,22_23,37.2,72.3,38.0,14.8,9.7,3.1,6.9,10.3,20.0,3.0,10.0
Southampton,24.7,73,0.0,22_23,44.1,77.3,36.0,14.6,11.0,3.7,9.5,9.9,17.0,5.0,12.0
Tottenham,27.6,77,3.0,22_23,49.8,83.4,70.0,14.6,13.6,5.2,8.1,9.3,43.0,4.0,16.0
West Ham,28.2,44,0.0,22_23,41.4,78.2,42.0,16.4,12.5,3.8,6.6,8.3,23.0,1.0,11.0
Wolves,26.7,85,6.0,22_23,50.1,81.3,31.0,12.3,10.8,3.3,10.1,10.2,15.0,4.0,6.0
Arsenal,25.0,64,2.0,23_24,58.4,86.8,91.0,13.6,17.3,6.0,7.4,10.4,49.0,7.0,20.0
Aston Villa,26.9,94,2.0,23_24,52.8,85.6,76.0,8.9,13.6,5.0,9.1,12.4,47.0,7.0,14.0
Bournemouth,25.7,79,3.0,23_24,44.0,77.1,54.0,15.7,14.3,4.9,10.1,9.9,34.0,5.0,11.0
Brentford,26.6,89,2.0,23_24,44.9,76.6,56.0,16.9,12.4,4.5,6.4,11.0,38.0,3.0,10.0
Brighton,25.9,90,3.0,23_24,60.2,89.0,55.0,10.8,14.8,5.5,7.8,11.9,36.0,1.0,8.0
Burnley,24.5,77,7.0,23_24,46.9,79.5,41.0,15.2,11.4,3.7,7.9,9.3,31.0,1.0,5.0
Chelsea,24.2,109,4.0,23_24,59.0,87.5,77.0,11.8,14.4,5.7,10.5,11.9,50.0,3.0,12.0
Crystal Palace,26.8,73,2.0,23_24,41.6,79.2,57.0,14.8,12.0,4.4,9.0,11.2,45.0,2.0,5.0
Everton,27.1,82,1.0,23_24,40.1,75.6,40.0,18.3,13.3,4.3,6.6,9.5,18.0,1.0,19.0
Fulham,28.4,84,4.0,23_24,50.3,82.5,55.0,13.0,13.2,4.7,7.1,9.6,38.0,3.0,11.0
Liverpool,26.3,69,5.0,23_24,61.3,85.8,86.0,15.6,20.8,7.3,8.7,9.9,53.0,6.0,15.0
Luton,26.7,71,0.0,23_24,41.8,76.1,52.0,17.0,11.4,3.7,9.3,11.8,26.0,3.0,15.0
Manchester City,26.6,53,2.0,23_24,65.4,90.5,96.0,8.7,18.2,7.3,9.9,10.8,67.0,2.0,16.0
Manchester Utd,26.1,83,1.0,23_24,50.4,82.7,57.0,11.6,14.5,5.1,8.2,8.9,39.0,3.0,9.0
Newcastle,27.2,79,1.0,23_24,52.2,82.7,85.0,12.0,14.5,5.6,9.3,12.3,52.0,8.0,15.0
Nottingham Forest,25.7,82,3.0,23_24,40.1,78.6,49.0,15.7,11.9,3.9,7.2,9.8,32.0,9.0,7.0
Sheffield,25.7,101,5.0,23_24,35.0,72.3,35.0,15.9,9.6,3.4,6.6,8.4,18.0,2.0,6.0
Tottenham,25.2,92,4.0,23_24,62.0,87.4,74.0,9.7,15.4,5.7,9.4,13.4,53.0,3.0,11.0
West Ham,28.3,82,3.0,23_24,40.5,79.1,60.0,15.3,11.8,4.1,9.3,10.3,31.0,9.0,14.0
Wolves,26.6,102,4.0,23_24,48.6,82.4,50.0,11.8,11.3,4.2,10.9,10.7,26.0,3.0,14.0
Arsenal,25.8,70,6.0,24_25,57.1,87.1,69.0,12.7,14.4,4.9,8.4,10.7,41.0,9.0,15.0
Aston Villa,27.0,76,4.0,24_25,50.6,85.3,58.0,10.2,12.7,4.5,8.6,13.1,33.0,4.0,16.0
Bournemouth,25.1,97,3.0,24_25,48.4,79.8,58.0,15.3,15.3,5.3,7.7,10.5,34.0,6.0,11.0
Brentford,25.8,62,1.0,24_25,47.7,80.7,66.0,16.6,11.6,4.8,7.0,8.9,43.0,4.0,13.0
Brighton,24.8,78,3.0,24_25,52.3,84.7,66.0,13.9,14.0,5.0,8.9,10.8,42.0,2.0,13.0
Chelsea,23.7,101,2.0,24_25,57.1,86.7,64.0,10.8,15.7,5.7,8.6,11.7,38.0,7.0,12.0
Crystal Palace,26.2,80,4.0,24_25,42.4,77.3,51.0,13.7,13.6,4.9,5.5,10.6,23.0,7.0,16.0
Everton,28.0,82,2.0,24_25,40.5,78.9,42.0,16.5,10.7,3.8,7.4,10.1,21.0,4.0,12.0
Fulham,28.1,80,2.0,24_25,52.3,84.5,54.0,14.3,13.7,4.6,7.6,9.4,43.0,3.0,4.0
Ipswich,25.8,93,5.0,24_25,40.0,80.4,36.0,14.8,9.9,3.3,7.3,10.6,21.0,6.0,6.0
Leicester,26.5,87,0.0,24_25,45.2,81.8,33.0,13.5,8.8,2.9,6.9,10.3,22.0,2.0,7.0
Liverpool,27.2,67,3.0,24_25,57.9,86.3,86.0,10.8,17.1,6.1,7.9,9.4,52.0,14.0,10.0
Manchester City,26.8,59,2.0,24_25,61.6,89.9,72.0,8.2,16.0,5.7,9.9,10.1,58.0,3.0,7.0
Manchester Utd,25.5,86,3.0,24_25,53.5,84.4,44.0,13.0,13.9,4.6,6.6,9.8,24.0,4.0,10.0
Newcastle,27.4,68,1.0,24_25,51.3,83.6,68.0,13.2,13.8,4.6,7.4,11.8,44.0,5.0,12.0
Nottingham Forest,26.1,90,2.0,24_25,40.7,78.7,58.0,15.2,12.2,4.4,6.8,11.0,30.0,7.0,17.0
Southampton,25.2,89,3.0,24_25,48.6,85.6,26.0,12.5,9.0,2.9,8.2,11.1,15.0,3.0,7.0
Tottenham,25.0,72,1.0,24_25,54.8,85.0,64.0,11.3,13.1,4.9,8.1,12.7,38.0,10.0,10.0
West Ham,28.1,82,3.0,24_25,48.6,82.7,46.0,15.6,12.5,3.8,9.1,10.4,28.0,4.0,8.0
Wolves,26.9,79,2.0,24_25,47.9,82.7,54.0,12.0,11.3,4.2,8.5,11.2,36.0,8.0,9.0
Arsenal,26.7,40,0.0,25_26,56.6,84.2,59.0,16.5,14.3,4.9,7.3,10.5,30.0,3.0,19.0
Aston Villa,28.4,45,1.0,25_26,53.5,85.0,39.0,13.1,12.6,4.3,6.3,12.8,25.0,1.0,11.0
Bournemouth,25.7,69,1.0,25_26,49.8,79.6,44.0,16.4,13.7,4.8,7.5,10.0,21.0,7.0,13.0
Brentford,25.9,56,1.0,25_26,47.1,79.3,44.0,19.5,10.5,4.0,6.4,9.1,20.0,9.0,8.0
Brighton,26.5,72,0.0,25_26,53.0,84.0,38.0,14.9,12.8,4.4,7.4,10.0,27.0,0.0,7.0
Burnley,27.8,50,2.0,25_26,41.3,78.5,32.0,15.9,9.1,2.9,4.9,8.8,19.0,1.0,7.0
Chelsea,24.8,73,7.0,25_26,58.7,87.1,53.0,14.1,13.5,4.8,7.3,11.4,28.0,5.0,12.0
Crystal Palace,26.8,62,2.0,25_26,45.2,78.0,33.0,19.1,11.7,3.8,4.2,9.1,16.0,0.0,10.0
Everton,28.0,55,4.0,25_26,44.1,79.8,34.0,22.6,11.1,3.4,6.6,11.4,18.0,3.0,9.0
Fulham,28.9,60,0.0,25_26,51.7,83.9,40.0,14.3,12.2,3.8,5.9,9.0,22.0,2.0,9.0
Leeds,27.3,46,0.0,25_26,45.4,79.9,37.0,17.9,12.5,3.9,5.5,11.2,19.0,1.0,13.0
Liverpool,27.3,44,1.0,25_26,60.3,86.0,48.0,16.1,15.8,4.5,8.1,10.1,29.0,4.0,12.0
Manchester City,26.0,54,0.0,25_26,59.7,88.4,59.0,13.0,14.4,5.2,10.2,10.9,37.0,9.0,7.0
Manchester Utd,26.6,43,1.0,25_26,53.4,82.9,51.0,17.1,15.9,5.8,6.6,10.7,29.0,3.0,14.0
Newcastle,27.6,51,3.0,25_26,53.4,83.6,42.0,17.9,13.3,4.7,7.0,11.1,19.0,3.0,14.0
Nottingham Forest,26.4,44,1.0,25_26,47.7,82.7,28.0,14.8,12.9,3.9,7.5,11.3,17.0,3.0,6.0
Sunderland,25.8,58,2.0,25_26,43.5,78.8,30.0,18.8,9.5,3.1,5.3,10.4,14.0,2.0,7.0
Tottenham,26.0,76,4.0,25_26,49.8,81.3,39.0,14.8,11.0,3.7,9.1,9.6,22.0,2.0,14.0
West Ham,27.0,51,3.0,25_26,42.5,79.2,35.0,15.2,10.5,3.5,6.7,10.7,17.0,5.0,8.0
Wolves,26.6,65,3.0,25_26,42.7,79.8,22.0,15.6,9.1,3.2,6.7,10.7,12.0,2.0,5.0
